,classificador,r2_adjusted,mae,rae,rse,r2,precision,accuracy,recall,f1_micro,f1_macro
tempo_implementacao,Extreme Gradient Boosting,0.6288598513040017,146.147216796875,0.5387735962867737,0.358894407749176,0.641105592250824,0.6379746794700623,0.6379746794700623,0.6379746794700623,0.6379746794700623,0.6369982957839966
qtd_alteracoes_codigo,Random Forest,0.4730658390390592,170.1033172607422,0.68013995885849,0.509548008441925,0.49045199155807495,0.6126582026481628,0.6126582026481628,0.6126582026481628,0.6126582026481628,0.6185136437416077
num_eventos,Random Forest,0.45926272086896924,193.95965576171875,0.6761337518692017,0.5228956937789917,0.4771043062210083,0.6025316715240479,0.6025316715240479,0.6025316715240479,0.6025316715240479,0.6088505387306213
num_eventos_del,Random Forest,0.4349165394550233,24.484088897705078,0.7205001711845398,0.5464385747909546,0.4535614252090454,0.6101265549659729,0.6101265549659729,0.6101265549659729,0.6101265549659729,0.6155701875686646
taxa_acerto,Random Forest,0.36900696917155906,0.0853738859295845,0.7425795197486877,0.6101734638214111,0.38982653617858887,0.6177214980125427,0.6177214980125427,0.6177214980125427,0.6177214980125427,0.47967711091041565
num_testes,Random Forest,0.3243541712836018,3.749094247817993,0.7683321237564087,0.6533529162406921,0.3466470539569855,0.5316455960273743,0.5316455960273743,0.5316455960273743,0.5316455960273743,0.528878927230835
num_consultas,Random Forest,0.3184440658474219,4.648482322692871,0.773129403591156,0.6590680480003357,0.3409319519996643,0.5189873576164246,0.5189873576164246,0.5189873576164246,0.5189873576164246,0.5117802023887634
num_std_sem_submissao,Random Forest,0.22244304520251557,6.177337646484375,0.8412491083145142,0.7519015073776245,0.2480984777212143,0.49367088079452515,0.49367088079452515,0.49367088079452515,0.49367088079452515,0.48315250873565674
num_erros_lgcs,Random Forest,0.16417070370646603,1.2866857051849365,0.8492556810379028,0.808251142501831,0.19174882769584656,0.4860759377479553,0.4860759377479553,0.4860759377479553,0.4860759377479553,0.44969138503074646
taxa_aceitacao,Random Forest,0.12992439377964948,0.07601486146450043,0.8640480041503906,0.8413675427436829,0.15863247215747833,0.43544304370880127,0.43544304370880127,0.43544304370880127,0.43544304370880127,0.42818698287010193
num_erros,Random Forest,0.11815196807616024,1.6251730918884277,0.8766021132469177,0.8527514934539795,0.14724847674369812,0.4683544337749481,0.4683544337749481,0.4683544337749481,0.4683544337749481,0.45649057626724243
num_submissoes,Random Forest,0.09054726499115706,1.6088663339614868,0.8890460729598999,0.8794454336166382,0.12055458873510361,0.4683544337749481,0.4683544337749481,0.4683544337749481,0.4683544337749481,0.45353683829307556
num_errors_stx,Random Forest,0.08062805168897769,0.6963109374046326,0.9035863876342773,0.8890373706817627,0.11096265912055969,0.44050633907318115,0.44050633907318115,0.44050633907318115,0.44050633907318115,0.41322842240333557
