,f1-macro,accuracy,classificador
num_eventos,0.8050632911392405,0.8049832971063278,Extreme Gradient Boosting
tempo_implementacao,0.8025316455696202,0.8025202543328889,Gradient Boosting
qtd_alteracoes_codigo,0.7746835443037975,0.7746777677363944,Extreme Gradient Boosting
taxa_acerto,0.759493670886076,0.6393248815370863,SVM
num_testes,0.739240506329114,0.7391803268179167,Random Forest
num_std_sem_submissao,0.7265822784810126,0.7229870129870131,Gradient Boosting
num_eventos_del,0.7215189873417721,0.7212170208397495,Random Forest
taxa_aceitacao,0.7189873417721518,0.7189585216237524,Extreme Gradient Boosting
num_consultas,0.7164556962025317,0.7164393395549173,Extreme Gradient Boosting
num_erros,0.6835443037974683,0.6835443037974682,Random Forest
num_erros_lgcs,0.660759493670886,0.6596053917785667,Random Forest
num_submissoes,0.660759493670886,0.6583750709970568,SVM
num_errors_stx,0.640506329113924,0.6396726282248946,Random Forest
